0.0000000000000e+00 	 -3.0000000000000e+00
1.9999999990000e+01 	 -3.0000000000000e+00
2.0000000000000e+01 	 6.0000000000000e+00
3.9999999990000e+01 	 6.0000000000000e+00
4.0000000000000e+01 	 7.0000000000000e-01
7.9999999990000e+01 	 7.0000000000000e-01
8.0000000000000e+01 	 2.9000000000000e+00
9.9999999990000e+01 	 2.9000000000000e+00
1.0000000000000e+02 	 6.0000000000000e+00
1.1999999999000e+02 	 6.0000000000000e+00
1.2000000000000e+02 	 7.0000000000000e-01
1.5999999999000e+02 	 7.0000000000000e-01
1.6000000000000e+02 	 -3.0000000000000e+00
1.7999999999000e+02 	 -3.0000000000000e+00
1.8000000000000e+02 	 6.0000000000000e+00
1.9999999999000e+02 	 6.0000000000000e+00
2.0000000000000e+02 	 1.3000000000000e+00
2.3999999999000e+02 	 1.3000000000000e+00
2.4000000000000e+02 	 2.9000000000000e+00
2.5999999999000e+02 	 2.9000000000000e+00
2.6000000000000e+02 	 6.0000000000000e+00
2.7999999999000e+02 	 6.0000000000000e+00
2.8000000000000e+02 	 1.3000000000000e+00
3.1999999999000e+02 	 1.3000000000000e+00
