W=2 B=31 | M=297.012421, a=-0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.238922, a=-0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.060852, a=-0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.870819, a=-0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.119965, a=-0.8, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.655884, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.188019, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.692535, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.345428, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.26535, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.925476, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.361725, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.317627, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.242706, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.982147, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.337891, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.323303, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.348938, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.911652, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.256683, a=-0.9, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.584198, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.950317, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.266968, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.904633, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.343475, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.151001, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.565918, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.708588, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.773376, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.103729, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.565216, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.169006, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.259583, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.102875, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.535614, a=-1.0, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.27359, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.560425, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.323944, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.772278, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.170135, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.007568, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.973389, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.117645, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.034363, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.577148, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.982758, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.555054, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.309357, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.10733, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.929932, a=-1.1, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.360352, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.262054, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.210876, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.611633, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=296.572571, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.491974, a=-1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.599854, a=-1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.505157, a=-1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.621613, a=-1.2, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.425598, a=-1.2, pw=1e-07, tag=SS_i 
